"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C11,C17";"C_Rect_L7.5mm_W6.5mm_P5.00mm";2;"22n";;;
2;"R3,R10";"R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal";2;"82k";;;
3;"R1,R8,R11,R4";"R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal";4;"47k";;;
4;"H5,H1,H4,H11,H2,H6,H9,H3,H8,H10,H7";"SolderWire-0.1sqmm_1x01_D0.4mm_OD1mm";11;"MountingHole_Pad";;;
5;"C16,C10";"C_Disc_D3.8mm_W2.6mm_P2.50mm";2;"2700p";;;
6;"C13,C19";"C_Disc_D3.8mm_W2.6mm_P2.50mm";2;"6800p";;;
7;"C6,C8";"C_0805_2012Metric";2;"1u";;;
8;"C18,C12";"C_Disc_D3.8mm_W2.6mm_P2.50mm";2;"110p";;;
9;"R13,R6";"R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal";2;"6k2";;;
10;"H17,H15,H14,H18,H16,H12,H19,H13";"TestPoint_Pad_D3.0mm";8;"MountingHole_Pad";;;
11;"C15,C9";"C_Axial_L5.1mm_D3.1mm_P7.50mm_Horizontal";2;"360p";;;
12;"R14,R7";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";2;"240";;;
13;"R12,R5";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";2;"4k7";;;
14;"U1";"TO-220-3_Vertical";1;"LM2940CT-12_NOPB";;;
15;"C14,C20";"C_Disc_D3.8mm_W2.6mm_P2.50mm";2;"2n2";;;
16;"C2,C4,C1,C3";"CP_Radial_Tantal_D4.5mm_P2.50mm";4;"C";;;
17;"U2";"TO-220-3_Vertical";1;"LM2990SX-12";;;
18;"C7,C5";"C_0805_2012Metric";2;"100n";;;
19;"R2,R9";"R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal";2;"100";;;
20;"U3";"DIP-8_W7.62mm_Socket";1;"LM4562";;;
21;"J4";"JST_PH_B11B-PH-K_1x11_P2.00mm_Vertical";1;"OUT_JU03_PU01";;;
